id_sample,sample_name,plot,rep,experiment,treatment,season,measurment,sampling_identifier,LAI_FILE,VERSION,DATE,TIME,PROMPT1,RESP1,PROMPT2,RESP2,TRANSCOMP,MODEL,GPSLAT,GPSLONG,GPSALT,GPSHDOP,GPSNUM,LAI,SEL,ACF,DIFN,MTA,SEM,SMP
1_a_ACRE-Biomass_Early_y22_LAI_sampling-3,a,1,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-001A,2.0.3,20220801,15:15:13,,,,,APS,HORIZONTAL,,,,,,2.069,0.6782,0.6843,0.1980,4.583,32.19,5
1_b_ACRE-Biomass_Early_y22_LAI_sampling-3,b,1,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-001B,2.0.3,20220801,15:17:10,,,,,APS,HORIZONTAL,,,,,,2.327,0.5339,0.7654,0.1552,38.97,3.595,4
2_a_ACRE-Biomass_Early_y22_LAI_sampling-3,a,2,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-002A,2.0.3,20220801,15:17:58,,,,,APS,HORIZONTAL,,,,,,3.144,0.6402,0.8165,0.07981,41.37,2.338,4
2_b_ACRE-Biomass_Early_y22_LAI_sampling-3,b,2,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-002B,2.0.3,20220801,15:18:47,,,,,APS,HORIZONTAL,,,,,,3.309,0.6147,0.7721,0.07101,38.07,1.652,4
3_a_ACRE-Biomass_Early_y22_LAI_sampling-3,a,3,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-003A,2.0.3,20220801,15:19:26,,,,,APS,HORIZONTAL,,,,,,3.753,0.8075,0.6920,0.05425,43.22,3.359,4
3_b_ACRE-Biomass_Early_y22_LAI_sampling-3,b,3,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-003B,2.0.3,20220801,15:20:12,,,,,APS,HORIZONTAL,,,,,,3.694,0.8311,0.6497,0.05301,43.50,3.519,4
4_a_ACRE-Biomass_Early_y22_LAI_sampling-3,a,4,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-004A,2.0.3,20220801,15:21:00,,,,,APS,HORIZONTAL,,,,,,2.753,0.6748,0.7095,0.1138,41.06,3.010,4
4_b_ACRE-Biomass_Early_y22_LAI_sampling-3,b,4,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-004B,2.0.3,20220801,15:21:49,,,,,APS,HORIZONTAL,,,,,,3.598,0.4787,0.9324,0.05749,38.15,2.487,3
5_a_ACRE-Biomass_Early_y22_LAI_sampling-3,a,5,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-005A,2.0.3,20220801,15:26:58,,,,,APS,HORIZONTAL,,,,,,2.742,0.7310,0.7483,0.1131,40.67,2.257,3
5_b_ACRE-Biomass_Early_y22_LAI_sampling-3,b,5,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-005B,2.0.3,20220801,15:27:31,,,,,APS,HORIZONTAL,,,,,,5.676,0.9660,0.8217,0.01107,42.47,2.856,3
6_a_ACRE-Biomass_Early_y22_LAI_sampling-3,a,6,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-006A,2.0.3,20220801,15:28:02,,,,,APS,HORIZONTAL,,,,,,4.281,0.9197,0.6820,0.03465,42.55,1.176,4
6_b_ACRE-Biomass_Early_y22_LAI_sampling-3,b,6,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-006B,2.0.3,20220801,15:28:31,,,,,APS,HORIZONTAL,,,,,,6.684,0.2774,0.9628,0.005262,42.61,4.966,3
7_a_ACRE-Biomass_Early_y22_LAI_sampling-3,a,7,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-007A,2.0.3,20220801,15:29:13,,,,,APS,HORIZONTAL,,,,,,4.015,0.8400,0.6540,0.03968,38.31,0.9923,4
7_b_ACRE-Biomass_Early_y22_LAI_sampling-3,b,7,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-007B,2.0.3,20220801,15:29:45,,,,,APS,HORIZONTAL,,,,,,4.386,1.021,0.6339,0.03093,42.71,5.649,4
8_a_ACRE-Biomass_Early_y22_LAI_sampling-3,a,8,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-008A,2.0.3,20220801,15:30:17,,,,,APS,HORIZONTAL,,,,,,2.849,0.7994,0.6920,0.1032,42.38,1.453,4
8_b_ACRE-Biomass_Early_y22_LAI_sampling-3,b,8,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-008B,2.0.3,20220801,15:31:15,,,,,APS,HORIZONTAL,,,,,,3.610,0.3275,0.9414,0.07201,14.80,26.46,3
9_a_ACRE-Biomass_Early_y22_LAI_sampling-3,a,9,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-009A,2.0.3,20220801,15:31:49,,,,,APS,HORIZONTAL,,,,,,5.617,0.2438,0.9345,0.01380,40.17,4.053,3
9_b_ACRE-Biomass_Early_y22_LAI_sampling-3,b,9,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-009B,2.0.3,20220801,15:32:25,,,,,APS,HORIZONTAL,,,,,,5.264,0.8423,0.7376,0.01527,39.85,1.489,4
10_a_ACRE-Biomass_Early_y22_LAI_sampling-3,a,10,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-010A,2.0.3,20220801,15:33:01,,,,,APS,HORIZONTAL,,,,,,5.452,1.109,0.6112,0.01326,32.94,5.410,4
10_b_ACRE-Biomass_Early_y22_LAI_sampling-3,b,10,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-010B,2.0.3,20220801,15:34:09,,,,,APS,HORIZONTAL,,,,,,5.228,1.634,0.4941,0.01594,37.23,1.551,3
