Plot,Genotype,Random_field_no,environment
1,PI594301,3,M2
2,LD-07-3395bf,23,M2
3,SA1730464,18,M2
4,PI154189,14,M2
5,PI594451,2,M2
6,PI154189,14,M2
7,LD-07-3395bf,23,M2
8,PI594301,3,M2
9,PI84987,5,M2
10,SA1730464,18,M2
11,PI561389B,10,M2
12,PI594451,2,M2
13,PI6548362,8,M2
14,SA1730464,18,M2
15,PI605765B,11,M2
16,PI507480,1,M2
17,PI603426 G,4,M2
18,PI507480,1,M2
19,PI378684A,13,M2
20,PI154189,14,M2
21,LG15-1913-86,22,M2
22,PI506942,16,M2
23,CR164386,21,M2
24,PI437505,15,M2
25,HM17-12161,19,M2
26,PI84631,6,M2
27,PI603426G,4,M2
28,PI561389B,10,M2
29,PI437505,15,M2
30,PI84631,6,M2
31,E19517GT,24,M2
32,PI567408,17,M2
33,SA1811280,25,M2
34,PI506942,16,M2
35,PI567780B,12,M2
36,PI378684A,13,M2
37,CR16-0042,20,M2
38,PI506942,16,M2
39,HM17-12161,19,M2
40,PI407708A,7,M2
41,PI605765B,11,M2
42,PI84631,6,M2
43,LG15-1913-86,22,M2
44,PI84987,5,M2
45,PI594301,3,M2
46,SA1811280,25,M2
47,LG15-1913-86,22,M2
48,PI605765B,11,M2
49,PI437505,15,M2
50,PI507480,1,M2
51,PI84987,5,M2
52,CR164386,21,M2
53,PI6548362,8,M2
54,PI567408,17,M2
55,PI567408,17,M2
56,CR164386,21,M2
57,PI594451,2,M2
58,PI39528B,9,M2
59,HM17-12161,19,M2
60,CR16-0042,20,M2
61,PI39528B,9,M2
62,E19517GT,24,M2
63,PI561389B,10,M2
64,PI567780B,12,M2
65,PI407708A,7,M2
66,PI39528B,9,M2
67,PI567780B,12,M2
68,PI603426G,4,M2
69,PI378684A,13,M2
70,PI407708A,7,M2
71,CR16-0042,20,M2
72,SA1811280,25,M2
73,E19517GT,24,M2
74,LD-07-3395bf,23,M2
75,PI6548362,8,M2
76,LD-07-3395bf,23,I1
77,PI39528B,9,I1
78,PI594451,2,I1
79,HM17-12161,19,I1
80,PI437505,15,I1
81,PI605765B,11,I1
82,PI507480,1,I1
83,PI567408,132,I1
84,PI154189,140,I1
85,PI407708A,148,I1
86,PI154189,14,I1
87,PI603426G,4,I1
88,PI605765B,11,I1
89,PI594451,2,I1
90,SA1811280,25,I1
91,PI378684A,13,I1
92,SA1811280,20,I1
93,PI605765B,133,I1
94,PI437505,141,I1
95,CR16-0042,149,I1
96,PI561389B,10,I1
97,PI567780B,12,I1
98,LG15-1913-86,22,I1
99,PI561389B,10,I1
100,E19517GT,24,I1
101,PI603426G,4,I1
102,SA1730464,126,I1
103,PI506942,134,I1
104,PI594451,142,I1
105,SA1811280,150,I1
106,SA1730464,18,I1
107,PI378684A,13,I1
108,PI507480,1,I1
109,PI407708A,7,I1
110,LD-07-3395bf,23,I1
111,PI84631,6,I1
112,CR164386,127,I1
113,PI603426G,135,I1
114,E19517GT,143,I1
115,PI506942,16,I1
116,PI84631,6,I1
117,PI6548362,8,I1
118,PI567408,17,I1
119,PI154189,14,I1
120,PI39528B,9,I1
121,HM17-12161,128,I1
122,PI6548362,136,I1
123,PI84631,144,I1
124,PI594301,3,I1
125,PI567408,17,I1
126,SA1811280,25,I1
127,PI594301,3,I1
128,HM17-12161,19,I1
129,LG15-1913-86,22,I1
130,PI6548362,129,I1
131,LG15-1913-86,137,I1
132,PI567780B,145,I1
133,CR16-0042,20,I1
134,PI84987,5,I1
135,PI437505,15,I1
136,PI6548362,8,I1
137,CR164386,21,I1
138,PI506942,16,I1
139,PI594301,130,I1
140,PI507480,138,I1
141,PI561389B,146,I1
142,PI407708A,7,I1
143,E19517GT,24,I1
144,CR164386,21,I1
145,PI6548362,5,I1
146,PI567780B,12,I1
147,SA1730464,18,I1
148,LD-07-3395bf,131,I1
149,PI39528B,139,I1
150,PI378684A,147,I1
